Date,Actual Direction,Predicted Direction
2025-02-11,1,1
2025-02-12,1,1
2025-02-13,1,0
2025-02-14,1,0
2025-02-17,0,1
2025-02-18,0,0
2025-02-19,1,0
2025-02-20,1,0
2025-02-21,1,0
2025-02-24,1,1
2025-02-25,1,1
2025-02-26,0,0
2025-02-27,0,0
2025-02-28,1,0
2025-03-03,1,0
2025-03-04,1,0
2025-03-05,1,0
2025-03-06,1,0
2025-03-07,1,0
2025-03-10,1,1
2025-03-11,1,1
2025-03-12,1,1
2025-03-13,0,0
2025-03-14,1,0
2025-03-17,1,0
2025-03-18,1,0
2025-03-19,0,0
2025-03-20,0,0
2025-03-21,0,0
2025-03-24,0,0
2025-03-25,0,0
2025-03-26,1,1
2025-03-27,1,0
2025-03-28,1,0
2025-03-31,0,0
2025-04-01,1,1
2025-04-02,1,1
2025-04-03,1,1
2025-04-04,1,1
2025-04-07,0,1
2025-04-08,0,0
2025-04-09,1,0
2025-04-10,1,0
2025-04-11,1,1
2025-04-14,1,1
2025-04-15,1,0
2025-04-16,1,0
2025-04-17,1,0
2025-04-18,0,0
